Date,Open,High,Low,Close,Volume,Code,Name,Market,Volume_Ratio,Z_Score,Return_1D,Return_3D,Return_5D,Return_10D
2024-04-09,48500,59200,48200,57800,3978748,012510,더존비즈온,KOSPI,6.187903973324541,4.101588956583943,-2.0761245674740483,-2.768166089965398,-5.3633217993079585,-7.958477508650519
2023-05-31,53000,56000,53000,54300,2417223,012750,에스원,KOSPI,11.413185049587533,7.562992168915154,-1.289134438305709,-0.3683241252302026,-0.3683241252302026,-0.7366482504604052
2022-07-05,37108,38139,36765,37845,591102,008930,한미사이언스,KOSPI,5.54618631782702,5.9407715415653986,5.189589113489233,6.354868542740125,8.172810146650813,4.4100938036728765
2023-08-09,33650,42200,33650,41150,2813693,008930,한미사이언스,KOSPI,9.275364659839816,7.450385707460393,-1.5795868772782502,-8.626974483596598,-14.580801944106925,-15.066828675577156
2024-01-15,46350,47650,40450,43300,5436616,008930,한미사이언스,KOSPI,13.427610693302158,7.5750302141266035,29.79214780600462,2.5404157043879905,-7.043879907621248,-3.810623556581986
2024-01-16,42300,56200,42200,56200,12532403,008930,한미사이언스,KOSPI,12.262144117437272,6.987773758033321,-11.298932384341636,-27.046263345195733,-25.97864768683274,-27.046263345195733
2024-01-17,53500,53900,47500,49850,6932330,008930,한미사이언스,KOSPI,5.089079800233028,3.3238159346499017,-10.932798395185557,-19.257773319959878,-19.95987963891675,-21.36409227683049
2024-07-04,34250,35450,32800,33200,1269423,008930,한미사이언스,KOSPI,7.9585603128697,6.907755607235625,1.5060240963855422,0.0,-0.30120481927710846,-1.355421686746988
2024-10-18,33300,37300,33150,36350,1932585,008930,한미사이언스,KOSPI,8.79417484917459,7.196422026028932,-2.3383768913342506,-9.903713892709765,11.966987620357635,-0.2751031636863824
2024-10-24,32850,42150,32400,39150,4029677,008930,한미사이언스,KOSPI,9.015336697240727,6.8054152693558745,3.959131545338442,6.002554278416347,21.966794380587483,-2.80970625798212
